Date,000001.SS,^AXJO,^BVSP,^FTSE,^GDAXI,^GSPC,^GSPTSE,^HSI,^MXX,^N225,^NSEI
2025-01-01,,,,,,,,,,,23742.900390625
2025-01-02,3262.56103515625,8201.2001953125,120125.0,8260.099609375,20024.66015625,5868.5498046875,24898.0,19623.3203125,49765.19921875,,24188.650390625
2025-01-03,3211.429931640625,8250.5,118533.0,8224.0,19906.080078125,5942.47021484375,25073.5,19760.26953125,48957.23828125,,24004.75
2025-01-06,3206.923095703125,8288.5,120022.0,8249.7001953125,20216.189453125,5975.3798828125,24999.80078125,19688.2890625,49493.55859375,39307.05078125,23616.05078125
2025-01-07,3229.64404296875,8285.099609375,121163.0,8245.2998046875,20340.5703125,5909.02978515625,24929.900390625,19447.580078125,50085.5,40083.30078125,23707.900390625
2025-01-08,3230.16796875,8349.099609375,119625.0,8251.0,20329.939453125,5918.25,25051.69921875,19279.83984375,49634.26171875,39981.05859375,23688.94921875
2025-01-09,3211.39306640625,8329.2001953125,119781.0,8319.7001953125,20317.099609375,,25073.400390625,19240.890625,49807.9609375,39605.08984375,23526.5
2025-01-10,3168.52392578125,8294.099609375,118856.0,8248.5,20214.7890625,5827.0400390625,24767.69921875,19064.2890625,49596.69921875,39190.3984375,23431.5
2025-01-13,3160.7548828125,8191.89990234375,119007.0,8224.2001953125,20132.849609375,5836.22021484375,24536.30078125,18874.140625,49829.96875,,23085.94921875
2025-01-14,3240.93994140625,8231.0,119299.0,8201.5,20271.330078125,5842.91015625,24588.599609375,19219.779296875,49844.0,38474.30078125,23176.05078125
2025-01-15,3227.116943359375,8213.2998046875,122650.0,8301.099609375,20574.6796875,5949.91015625,24789.30078125,19286.0703125,50242.83984375,38444.578125,23213.19921875
2025-01-16,3236.031982421875,8327.0,121234.0,8391.900390625,20655.390625,5937.33984375,24846.19921875,19522.890625,49948.1484375,38572.6015625,23311.80078125
2025-01-17,3241.821044921875,8310.400390625,122350.0,8505.2001953125,20903.390625,5996.66015625,25067.900390625,19584.060546875,49940.890625,38451.4609375,23203.19921875
2025-01-20,3244.3779296875,8402.0,122543.0,8520.5,20990.310546875,,25130.80078125,19925.810546875,50201.3203125,38902.5,23344.75
2025-01-21,3242.623046875,8420.2998046875,123338.0,8548.2998046875,21042.0,6049.240234375,25281.599609375,20106.55078125,50450.26171875,39027.98046875,23024.650390625
2025-01-22,3213.6240234375,8429.7998046875,122972.0,8545.099609375,21254.26953125,6086.3701171875,25311.5,19778.76953125,50944.578125,39646.25,23155.349609375
2025-01-23,3230.1640625,8378.7001953125,122483.0,8565.2001953125,21411.529296875,6118.7099609375,25434.099609375,19700.560546875,51054.91015625,39958.87109375,23205.349609375
2025-01-24,3252.6259765625,8408.900390625,122447.0,8502.400390625,21394.9296875,6101.240234375,25468.5,20066.189453125,51357.30859375,39931.98046875,23092.19921875
2025-01-27,3250.60107421875,,124862.0,8503.7001953125,21282.1796875,6012.27978515625,25289.19921875,20197.76953125,51687.44921875,39565.80078125,22829.150390625
2025-01-28,,8399.099609375,124056.0,8533.900390625,21430.580078125,6067.7001953125,25419.5,20225.109375,51535.9609375,39016.87109375,22957.25
2025-01-29,,8447.0,123432.0,8557.7998046875,21637.529296875,6039.31005859375,25473.30078125,,51555.78125,39414.78125,23163.099609375
2025-01-30,,8550.099609375,126913.0,8646.900390625,21727.19921875,6071.169921875,25808.30078125,,52050.25,39513.96875,23249.5
2025-01-31,,8532.2998046875,126135.0,8674.0,21732.05078125,6040.52978515625,25533.099609375,,51209.53125,39572.48828125,23508.400390625
2025-02-03,,8379.400390625,125970.0,8583.599609375,21428.240234375,5994.56982421875,25241.80078125,20217.259765625,,38520.08984375,23361.05078125
2025-02-04,,8374.0,125147.0,8570.7998046875,21505.69921875,6037.8798828125,25279.400390625,20789.9609375,51889.75,38798.37109375,23739.25
2025-02-05,3229.488037109375,8416.900390625,125534.0,8623.2998046875,21585.9296875,6061.47998046875,25569.80078125,20597.08984375,51570.19140625,38831.48046875,23696.30078125
2025-02-06,3270.658935546875,8520.7001953125,126225.0,8727.2998046875,21902.419921875,6083.56982421875,25534.5,20891.619140625,52674.7890625,39066.53125,23603.349609375
2025-02-07,3303.6669921875,8511.400390625,124619.0,8700.5,21787.0,6025.990234375,25442.900390625,21133.5390625,52817.75,38787.01953125,23559.94921875
